,samples,energies
91,"[0.19999994337558746, 0.09999999403953552, 0.20000037550926208, 0.40000006556510925]",1.787
92,"[0.19999998807907104, 0.3999999761581421, 0.20000027120113373, 0.10000009089708328]",1.787
93,"[0.2999999523162842, 0.10000000149011612, 0.30000028014183044, 0.2000001221895218]",1.787
94,"[0.4000000059604645, 0.10000002384185791, 0.20000024139881134, 0.2000001221895218]",1.787
95,"[0.2506745457649231, 0.17974954843521118, 0.18096254765987396, 0.10900318622589111]",1.788
96,"[0.30000004172325134, 0.20000000298023224, 0.19999974966049194, 0.09999988973140717]",1.7883
97,"[0.2999999225139618, 0.20000001788139343, 0.30000054836273193, 0.10000025480985641]",1.7885
98,"[0.24922284483909607, 0.15885208547115326, 0.15992386639118195, 0.07224788516759872]",1.7887
99,"[0.20000000298023224, 0.10000000894069672, 0.10000023990869522, 0.5000001192092896]",1.7888
100,"[0.1724170297384262, 0.14423957467079163, 0.290425181388855, 0.08746921271085739]",1.7904
101,"[0.09508737921714783, 0.13636739552021027, 0.2288125455379486, 0.16539105772972107]",1.7906
102,"[0.10000002384185791, 0.09999997168779373, 0.6999995708465576, 0.049999747425317764]",1.7907
103,"[0.09999999403953552, 0.20000003278255463, 0.3000001907348633, 0.30000004172325134]",1.7911
104,"[0.21510246396064758, 0.1645248979330063, 0.1863391399383545, 0.11224201321601868]",1.7915
105,"[0.36838334798812866, 0.2152368277311325, 0.09849489480257034, 0.23731495440006256]",1.7916
106,"[0.10000000894069672, 0.40000003576278687, 0.19999994337558746, 0.10000002384185791]",1.7931
107,"[0.25790831446647644, 0.18493665754795074, 0.24824629724025726, 0.22429756820201874]",1.7933
108,"[0.2000001072883606, 0.10000002384185791, 0.09999939054250717, 0.39999982714653015]",1.7943
109,"[0.6999998092651367, 0.04999999329447746, 0.10000106692314148, 0.050000324845314026]",1.7944
110,"[0.10000000894069672, 0.19999997317790985, 0.4000001549720764, 0.19999997317790985]",1.7967
111,"[0.30000001192092896, 0.30000001192092896, 0.10000014305114746, 0.20000000298023224]",1.797
112,"[0.2999999523162842, 0.3999999761581421, 0.10000009834766388, 0.10000002384185791]",1.797
113,"[0.6999999284744263, 0.05000000447034836, 0.10000026226043701, 0.10000009834766388]",1.797
114,"[0.26048755645751953, 0.18678614497184753, 0.14625860750675201, 0.201369509100914]",1.797
115,"[0.24528910219669342, 0.1758878082036972, 0.29512426257133484, 0.10666138678789139]",1.7974
116,"[0.21419253945350647, 0.1279914379119873, 0.025771470740437508, 0.5898830890655518]",1.7975
117,"[0.3250751793384552, 0.19424965977668762, 0.17600463330745697, 0.1766945719718933]",1.7977
118,"[0.24898728728294373, 0.15870195627212524, 0.25963088870048523, 0.12029953300952911]",1.798
119,"[0.10000000149011612, 0.20000004768371582, 0.299999862909317, 0.09999985992908478]",1.7985
120,"[0.26603251695632935, 0.148370623588562, 0.14937150478363037, 0.24421635270118713]",1.7997
121,"[0.09999998658895493, 0.30000007152557373, 0.20000013709068298, 0.30000004172325134]",1.8015
122,"[0.1000000610947609, 0.20000001788139343, 0.09999936074018478, 0.29999977350234985]",1.8028
123,"[0.2859835922718048, 0.17577293515205383, 0.2556074559688568, 0.15396586060523987]",1.8034
124,"[0.3274056911468506, 0.19564223289489746, 0.13787420094013214, 0.1779613345861435]",1.8037
125,"[0.30000004172325134, 0.10000000149011612, 0.10000001639127731, 0.09999999403953552]",1.804
126,"[0.10000000894069672, 0.10000001639127731, 0.4999997019767761, 0.1999998241662979]",1.8045
127,"[0.7000000476837158, 0.10000002384185791, 0.10000009089708328, 0.05000005289912224]",1.8047
128,"[0.2000000923871994, 0.10000003129243851, 0.3999994099140167, 0.19999971985816956]",1.8056
129,"[0.048227641731500626, 0.1152743250131607, 0.11605212092399597, 0.055923450738191605]",1.8057
130,"[0.20000004768371582, 0.20000001788139343, 0.19999979436397552, 0.299999862909317]",1.8073
131,"[0.08302416652441025, 0.6350249648094177, 0.1598275601863861, 0.02406817115843296]",1.8074
132,"[0.25050491094589233, 0.1796279400587082, 0.16074687242507935, 0.09682632982730865]",1.8075
133,"[0.30000001192092896, 0.10000000894069672, 0.4000002443790436, 0.10000013560056686]",1.8083
134,"[0.04502851143479347, 0.5811889171600342, 0.06501209735870361, 0.07832059264183044]",1.8091
135,"[0.09999998658895493, 0.30000007152557373, 0.09999977052211761, 0.19999991357326508]",1.8097
136,"[0.19999995827674866, 0.5000000596046448, 0.10000021010637283, 0.10000018775463104]",1.8097
137,"[0.2999999225139618, 0.10000000149011612, 0.10000042617321014, 0.40000012516975403]",1.8097
138,"[0.1485666185617447, 0.16571593284606934, 0.04766684025526047, 0.28712278604507446]",1.8097
139,"[0.0968804582953453, 0.0694693922996521, 0.27975180745124817, 0.2106369137763977]",1.8097
140,"[0.17434218525886536, 0.14585016667842865, 0.3565976619720459, 0.1516219526529312]",1.8098
141,"[0.26622363924980164, 0.148477241396904, 0.17083333432674408, 0.2572547197341919]",1.8104
142,"[0.09999997913837433, 0.6000000834465027, 0.1000000461935997, 0.10000001639127731]",1.8114
143,"[0.32214587926864624, 0.19249923527240753, 0.15503883361816406, 0.14008192718029022]",1.8126
144,"[0.2999999523162842, 0.10000001639127731, 0.20000015199184418, 0.20000001788139343]",1.813
145,"[0.10000001639127731, 0.5000001192092896, 0.19999951124191284, 0.09999983012676239]",1.8132
146,"[0.21334591507911682, 0.16318143904209137, 0.20535342395305634, 0.0989561676979065]",1.8132
147,"[0.10000003129243851, 0.40000003576278687, 0.09999973326921463, 0.19999997317790985]",1.8138
148,"[0.2595008611679077, 0.18607859313488007, 0.1665191948413849, 0.20060664415359497]",1.8138
149,"[0.14398767054080963, 0.13766437768936157, 0.04619675502181053, 0.18087728321552277]",1.8163
150,"[0.2999999523162842, 0.10000002384185791, 0.20000003278255463, 0.09999997168779373]",1.8169
151,"[0.30000001192092896, 0.19999997317790985, 0.09999983757734299, 0.09999991208314896]",1.817
152,"[0.1000000610947609, 0.05000002309679985, 0.699999988079071, 0.10000007599592209]",1.817
153,"[0.17939120531082153, 0.06431743502616882, 0.0863354355096817, 0.0520043708384037]",1.818
154,"[0.30000001192092896, 0.09999999403953552, 0.09999988973140717, 0.2999998927116394]",1.8238
155,"[0.21408604085445404, 0.16374744474887848, 0.30909812450408936, 0.16136132180690765]",1.8248
156,"[0.09982968121767044, 0.04772280156612396, 0.14413399994373322, 0.21704928576946259]",1.825
157,"[0.09999995678663254, 0.30000001192092896, 0.10000018775463104, 0.3000001013278961]",1.8254
158,"[0.26304322481155396, 0.18861867487430573, 0.1687920093536377, 0.241472065448761]",1.8264
159,"[0.13949115574359894, 0.15559285879135132, 0.38041722774505615, 0.26958319544792175]",1.8286
160,"[0.2513212561607361, 0.16018959879875183, 0.2822226285934448, 0.15785503387451172]",1.8305
161,"[0.20565994083881378, 0.15730266273021698, 0.3959104120731354, 0.09539110213518143]",1.8311
162,"[0.1806793361902237, 0.06477926671504974, 0.021738648414611816, 0.03928312659263611]",1.8325
163,"[0.6999999284744263, 0.04999999701976776, 0.0500003807246685, 0.10000011324882507]",1.834
164,"[0.08977187424898148, 0.02145741879940033, 0.34563514590263367, 0.013012304902076721]",1.8354
165,"[0.26706963777542114, 0.1489490121603012, 0.12853193283081055, 0.24516846239566803]",1.8355
166,"[0.3064078092575073, 0.16740107536315918, 0.1263982653617859, 0.27916601300239563]",1.8365
167,"[0.2510494589805603, 0.16001638770103455, 0.12082239985466003, 0.07277762144804001]",1.8368
168,"[0.28611212968826294, 0.18236489593982697, 0.022949106991291046, 0.41470929980278015]",1.8378
169,"[0.20000000298023224, 0.20000001788139343, 0.10000033676624298, 0.40000003576278687]",1.838
170,"[0.3292408883571625, 0.19673888385295868, 0.1782597154378891, 0.2147504985332489]",1.84
171,"[0.10000000149011612, 0.1000000461935997, 0.600000262260437, 0.10000013560056686]",1.8407
172,"[0.33118677139282227, 0.19790160655975342, 0.09961877763271332, 0.19201752543449402]",1.8418
173,"[0.21405638754367828, 0.1432592272758484, 0.3296591639518738, 0.16133907437324524]",1.842
174,"[0.10000008344650269, 0.20000006258487701, 0.09999971836805344, 0.3999999165534973]",1.8426
175,"[0.3230745494365692, 0.19305413961410522, 0.11661452054977417, 0.1287786364555359]",1.8445
176,"[0.13491427898406982, 0.1504877805709839, 0.08657345175743103, 0.026073908433318138]",1.845
177,"[0.09341666102409363, 0.13397131860256195, 0.13487505912780762, 0.06770195811986923]",1.8454
178,"[0.04872945696115494, 0.5357789397239685, 0.07035590708255768, 0.26840028166770935]",1.846
179,"[0.20715251564979553, 0.15844430029392242, 0.3589048981666565, 0.09608330577611923]",1.8474
180,"[0.10000002384185791, 0.30000004172325134, 0.09999989718198776, 0.40000006556510925]",1.8481
181,"[0.2313045710325241, 0.17691738903522491, 0.15584696829319, 0.30844640731811523]",1.85
182,"[0.3357396721839905, 0.20062227547168732, 0.12118588387966156, 0.24332165718078613]",1.8523
183,"[0.05000000074505806, 0.05000000074505806, 0.7999994158744812, 0.049999773502349854]",1.8535
184,"[0.042419832199811935, 0.6286330223083496, 0.20415332913398743, 0.024594468995928764]",1.855
185,"[0.2066800445318222, 0.15808294713497162, 0.4177672266960144, 0.11983009427785873]",1.8623
186,"[0.2887006103992462, 0.17744281888008118, 0.15879085659980774, 0.13151632249355316]",1.8623
187,"[0.24818608164787292, 0.1779651939868927, 0.13935162127017975, 0.05995635688304901]",1.8637
188,"[0.2097170650959015, 0.16040584444999695, 0.3431621193885803, 0.12159105390310287]",1.8661
189,"[0.043806225061416626, 0.6282371282577515, 0.12649528682231903, 0.06349576264619827]",1.8695
190,"[0.21438345313072205, 0.16397500038146973, 0.3507978916168213, 0.18644481897354126]",1.871
191,"[0.22835761308670044, 0.17466336488723755, 0.19782118499279022, 0.2912765145301819]",1.8747
192,"[0.1532173454761505, 0.1464887410402298, 0.2212154120206833, 0.45897188782691956]",1.8766
193,"[0.04993025213479996, 0.02386876940727234, 0.3604468107223511, 0.23159073293209076]",1.8773
194,"[0.22694595158100128, 0.17358358204364777, 0.15291033685207367, 0.2500021755695343]",1.88
195,"[0.3384118378162384, 0.18199710547924042, 0.12215019017457962, 0.25752103328704834]",1.8806
196,"[0.15176093578338623, 0.07254812121391296, 0.024345753714442253, 0.29329609870910645]",1.8841
197,"[0.13022103905677795, 0.1452527642250061, 0.5222596526145935, 0.15100055932998657]",1.8875
198,"[0.042067788541316986, 0.04022033512592316, 0.7895875573158264, 0.012195104733109474]",1.889
199,"[0.12352252006530762, 0.6889051795005798, 0.07926315814256668, 0.059680525213479996]",1.894
200,"[0.124019555747509, 0.6521528959274292, 0.11937329173088074, 0.07190489023923874]",1.896
201,"[0.08540695905685425, 0.020414061844348907, 0.5960018038749695, 0.01237908098846674]",1.9025
202,"[0.1218627393245697, 0.6602296829223633, 0.07819809019565582, 0.011775682680308819]",1.9034
203,"[0.24338488280773163, 0.17452247440814972, 0.3123554289340973, 0.09407418221235275]",1.904
204,"[0.09527893364429474, 0.04554734751582146, 0.2522001564502716, 0.13810338079929352]",1.9216
205,"[0.24220597743988037, 0.17367707192897797, 0.29141494631767273, 0.0702139139175415]",1.9246
206,"[0.09647165983915329, 0.023058738559484482, 0.2089288830757141, 0.13983216881752014]",1.9327
207,"[0.051766227930784225, 0.024746429175138474, 0.34878724813461304, 0.33014655113220215]",1.936
208,"[0.052407585084438324, 0.42590174078941345, 0.07566628605127335, 0.4253925383090973]",1.9392
209,"[0.09510175883769989, 0.09092532843351364, 0.43480896949768066, 0.2481239289045334]",1.9404
210,"[0.10353314876556396, 0.14847968518733978, 0.17439469695091248, 0.39017581939697266]",1.9607
211,"[0.10984056442975998, 0.15752525627613068, 0.13215689361095428, 0.5572351217269897]",1.9665
212,"[0.14698515832424164, 0.09368683397769928, 0.11789905279874802, 0.25565996766090393]",1.974
213,"[0.04619676619768143, 0.022084001451730728, 0.533592700958252, 0.1071370467543602]",2.0086
214,"[0.11197521537542343, 0.1338222473859787, 0.053890012204647064, 0.5680645704269409]",2.0277
215,"[0.09999995678663254, 0.699999988079071, 0.050000205636024475, 0.050000064074993134]",2.0791
216,"[0.04999997094273567, 0.6999999284744263, 0.10000041127204895, 0.05000012740492821]",2.1431
217,"[0.049999963492155075, 0.7000000476837158, 0.050000403076410294, 0.10000012814998627]",2.1441
218,"[0.09999994933605194, 0.699999988079071, 0.10000060498714447, 0.05000023543834686]",2.1487
219,"[0.1000000536441803, 0.10000001639127731, 0.3999994993209839, 0.19999980926513672]",2.1577
220,"[0.05000002682209015, 0.10000001639127731, 0.050000011920928955, 0.10000008344650269]",2.1614
221,"[0.1000000536441803, 0.10000003129243851, 0.3999996483325958, 0.29999983310699463]",2.169
222,"[0.09999993443489075, 0.6999999284744263, 0.050000760704278946, 0.10000026226043701]",2.1778
223,"[0.1000000610947609, 0.10000002384185791, 0.29999956488609314, 0.39999985694885254]",2.189
224,"[0.09999997913837433, 0.10000000894069672, 0.2999997138977051, 0.09999986737966537]",2.1893
225,"[0.10000001639127731, 0.05000001937150955, 0.04999976605176926, 0.6999999284744263]",2.2081
226,"[0.10000010579824448, 0.1000000387430191, 0.04999961331486702, 0.699999988079071]",2.2095
227,"[0.09999995678663254, 0.10000002384185791, 0.0500001460313797, 0.04999993368983269]",2.2194
228,"[0.04999999701976776, 0.10000000149011612, 0.0999997928738594, 0.6999999284744263]",2.2221
229,"[0.05000000447034836, 0.10000000894069672, 0.6999997496604919, 0.09999993443489075]",2.2254
230,"[0.09999994933605194, 0.10000000894069672, 0.09999968856573105, 0.5999998450279236]",2.2262
231,"[0.09999997913837433, 0.1000000461935997, 0.299999862909317, 0.29999998211860657]",2.2262
232,"[0.050000015646219254, 0.05000000819563866, 0.09999977052211761, 0.6999999284744263]",2.2301
233,"[0.09999998658895493, 0.09999999403953552, 0.20000006258487701, 0.3999999463558197]",2.2385
234,"[0.050000015646219254, 0.09999999403953552, 0.0999998152256012, 0.049999918788671494]",2.242
235,"[0.09999999403953552, 0.10000001639127731, 0.19999991357326508, 0.29999998211860657]",2.244
236,"[0.09999999403953552, 0.10000000149011612, 0.09999983757734299, 0.49999988079071045]",2.2454
237,"[0.04999998211860657, 0.10000000149011612, 0.050000037997961044, 0.699999988079071]",2.248
238,"[0.10000009089708328, 0.050000034272670746, 0.09999983012676239, 0.7000000476837158]",2.2541
239,"[0.1000000387430191, 0.10000003129243851, 0.09999944269657135, 0.39999979734420776]",2.2543
240,"[0.10000003129243851, 0.10000002384185791, 0.09999973326921463, 0.299999862909317]",2.2612
241,"[0.09999994188547134, 0.09999997168779373, 0.10000041127204895, 0.1000000536441803]",2.2632
242,"[0.10000002384185791, 0.10000002384185791, 0.09999968111515045, 0.19999989867210388]",2.2862
